"block","plot","accession","Entry","Name","Pedigree","NY Seed","random"
1,155,"LA07007SBSBSB-24",71,"LA07007SBSBSB-24","FL0206FSB-34-S2/LA06070,F1 (UFRGS046048-1/HZN 270)","seed available",0.323533719405532
2,471,"LA07007SBSBSB-24",71,"LA07007SBSBSB-24","FL0206FSB-34-S2/LA06070,F1 (UFRGS046048-1/HZN 270)","seed available",0.0325573952868581
1,164,"LA07017SBSB-30",72,"LA07017SBSB-30","LA02018SBSBS5-B-S1(LA9533D36-6/TX98D666)  /  LA9339","seed available",0.34518839023076
2,472,"LA07017SBSB-30",72,"LA07017SBSB-30","LA02018SBSBS5-B-S1(LA9533D36-6/TX98D666)  /  LA9339","seed available",0.0336179544683546
1,111,"LA07023SBS-FS5-Ab1",73,"LA07023SBS-FS5-Ab1","LA02029SBSBS48/LA06022,F1 (LA9339/UFRGS 028152-1)","seed available",0.220176292583346
2,506,"LA07023SBS-FS5-Ab1",73,"LA07023SBS-FS5-Ab1","LA02029SBSBS48/LA06022,F1 (LA9339/UFRGS 028152-1)","seed available",0.118872686754912
1,293,"LA07024SBSBSBS-7-S1",74,"LA07024SBSBSBS-7-S1","LA02029SBSBS48/LA06030,F1 (HZN 270/LA90105-C4-1-1-1-2-1)","seed available",0.608071223832667
2,624,"LA07024SBSBSBS-7-S1",74,"LA07024SBSBSBS-7-S1","LA02029SBSBS48/LA06030,F1 (HZN 270/LA90105-C4-1-1-1-2-1)","seed available",0.399287875974551
1,288,"LA07026SBS-FS1-Ab1",75,"LA07026SBS-FS1-Ab1","LA02029SBSBS48/UFRGS 028153-2","seed available",0.601548717590049
2,739,"LA07026SBS-FS1-Ab1",75,"LA07026SBS-FS1-Ab1","LA02029SBSBS48/UFRGS 028153-2","seed available",0.651417435379699
1,369,"LA07033SBSB-2",76,"LA07033SBSB-2","LA02076SBSBSB-S2  /  LA98002---84-2-S1-B-S1","seed available",0.802679120097309
2,792,"LA07033SBSB-2",76,"LA07033SBSB-2","LA02076SBSBSB-S2  /  LA98002---84-2-S1-B-S1","seed available",0.760209104279056
1,32,"LA07033SBSB-33",77,"LA07033SBSB-33","LA02076SBSBSB-S2  /  LA98002---84-2-S1-B-S1","seed available",0.0771763098891824
2,682,"LA07033SBSB-33",77,"LA07033SBSB-33","LA02076SBSBSB-S2  /  LA98002---84-2-S1-B-S1","seed available",0.539509574882686
1,446,"LA07046SBSBSBS-2-S1",78,"LA07046SBSBSBS-2-S1","LA98002---84-2-S1-B-S1  /  LA06072,F1 (UFRGS046048-1/TX02U7605)","seed available",0.977584798354656
2,795,"LA07046SBSBSBS-2-S1",78,"LA07046SBSBSBS-2-S1","LA98002---84-2-S1-B-S1  /  LA06072,F1 (UFRGS046048-1/TX02U7605)","seed available",0.765131473075598
1,78,"LA07048SBSB-19",79,"LA07048SBSB-19","LA98002SBS-64  /  LA99017","seed available",0.154362236149609
2,483,"LA07048SBSB-19",79,"LA07048SBSB-19","LA98002SBS-64  /  LA99017","seed available",0.0608997792005539
1,221,"LA07048SBSB-28",80,"LA07048SBSB-28","LA98002SBS-64  /  LA99017","seed available",0.471337823430076
2,704,"LA07048SBSB-28",80,"LA07048SBSB-28","LA98002SBS-64  /  LA99017","seed available",0.580002991016954
1,311,"LA07048SBSB-39",81,"LA07048SBSB-39","LA98002SBS-64  /  LA99017","seed available",0.647810109192505
2,730,"LA07048SBSB-39",81,"LA07048SBSB-39","LA98002SBS-64  /  LA99017","seed available",0.636746999807656
1,76,"LA07048SBSB-5",82,"LA07048SBSB-5","LA98002SBS-64  /  LA99017","seed available",0.152827419806272
2,860,"LA07048SBSB-5",82,"LA07048SBSB-5","LA98002SBS-64  /  LA99017","seed available",0.897027214290574
1,147,"LA07049SBSBSBS-52-S1",83,"LA07049SBSBSBS-52-S1","LA99016/HZN 270","seed available",0.30616708076559
2,840,"LA07049SBSBSBS-52-S1",83,"LA07049SBSBSBS-52-S1","LA99016/HZN 270","seed available",0.846122277900577
1,432,"LA07052SBSBSBS-1-S1",84,"LA07052SBSBSBS-1-S1","LA99017SBSB-46  /  SD020707","seed available",0.932762999320403
2,618,"LA07052SBSBSBS-1-S1",84,"LA07052SBSBSBS-1-S1","LA99017SBSB-46  /  SD020707","seed available",0.386795694474131
1,96,"LA07059SBSBSB-44",85,"LA07059SBSBSB-44","ND000824  /  TROPHY","seed available",0.187404189491645
2,857,"LA07059SBSBSB-44",85,"LA07059SBSBSB-44","ND000824  /  TROPHY","seed available",0.894470223458484
1,43,"LA07065SBSBSB-32",86,"LA07065SBSBSB-32","TAMO 405/UFRGS 028152-1","seed available",0.1029819608666
2,745,"LA07065SBSBSB-32",86,"LA07065SBSBSB-32","TAMO 405/UFRGS 028152-1","seed available",0.664861524477601
1,74,"LA07065SBS-FS2-Ab1",87,"LA07065SBS-FS2-Ab1","TAMO 405/UFRGS 028152-1","seed available",0.14996198983863
2,500,"LA07065SBS-FS2-Ab1",87,"LA07065SBS-FS2-Ab1","TAMO 405/UFRGS 028152-1","seed available",0.113203871995211
1,123,"LA07070SBSBSBS-65-S1",88,"LA07070SBSBSBS-65-S1","TX02U7473/UFRGS 01B7114-1-3","seed available",0.250168230151758
2,827,"LA07070SBSBSBS-65-S1",88,"LA07070SBSBSBS-65-S1","TX02U7473/UFRGS 01B7114-1-3","seed available",0.821940604830161
1,142,"LA08016SBSBS-44-S1",89,"LA08016SBSBS-44-S1","BW5-33/UFRGS046048-1","seed available",0.30218101432547
2,738,"LA08016SBSBS-44-S1",89,"LA08016SBSBS-44-S1","BW5-33/UFRGS046048-1","seed available",0.649668829282746
1,377,"LA08021SBSBS-15-S1",90,"LA08021SBSBS-15-S1","FL01016-H4/LA99016","seed available",0.818698818096891
2,642,"LA08021SBSBS-15-S1",90,"LA08021SBSBS-15-S1","FL01016-H4/LA99016","seed available",0.441337677417323
1,381,"LA08021SBSBS-7-S1",91,"LA08021SBSBS-7-S1","FL01016-H4/LA99016","seed available",0.830362727865577
2,563,"LA08021SBSBS-7-S1",91,"LA08021SBSBS-7-S1","FL01016-H4/LA99016","seed available",0.268038466339931
1,235,"LA08024SBSBS-29-S1",92,"LA08024SBSBS-29-S1","FL0115-J2/LA97006GSB-59-2-4","seed available",0.505329962121323
2,468,"LA08024SBSBS-29-S1",92,"LA08024SBSBS-29-S1","FL0115-J2/LA97006GSB-59-2-4","seed available",0.0210816953331232
1,370,"LA08024SBSBS-48-S1",93,"LA08024SBSBS-48-S1","FL0115-J2/LA97006GSB-59-2-4","seed available",0.804370540659875
