"plot_number","prow","pcol","grow","gcol","subplot"
604,12,"11",1,3,1
527,12,"12",1,1,3
527,12,"12",1,2,2
527,12,"12",1,3,1
522,12,"13",1,1,3
522,12,"13",1,2,2
522,12,"13",1,3,1
503,12,"14",1,1,3
503,12,"14",1,2,2
503,12,"14",1,3,1
841,13,"1",1,1,3
841,13,"1",1,2,2
841,13,"1",1,3,1
820,13,"2",1,1,3
820,13,"2",1,2,2
820,13,"2",1,3,1
817,13,"3",1,1,3
817,13,"3",1,2,2
817,13,"3",1,3,1
738,13,"4",1,1,3
738,13,"4",1,2,2
738,13,"4",1,3,1
735,13,"5",1,1,3
735,13,"5",1,2,2
735,13,"5",1,3,1
714,13,"6",1,1,3
714,13,"6",1,2,2
714,13,"6",1,3,1
711,13,"7",1,1,3
711,13,"7",1,2,2
711,13,"7",1,3,1
632,13,"8",1,1,3
632,13,"8",1,2,2
632,13,"8",1,3,1
629,13,"9",1,1,3
629,13,"9",1,2,2
629,13,"9",1,3,1
608,13,"10",1,1,3
608,13,"10",1,2,2
608,13,"10",1,3,1
605,13,"11",1,1,3
605,13,"11",1,2,2
605,13,"11",1,3,1
526,13,"12",1,1,3
526,13,"12",1,2,2
526,13,"12",1,3,1
523,13,"13",1,1,3
523,13,"13",1,2,2
523,13,"13",1,3,1
502,13,"14",1,1,3
502,13,"14",1,2,2
502,13,"14",1,3,1
842,14,"1",1,1,3
842,14,"1",1,2,2
842,14,"1",1,3,1
819,14,"2",1,1,3
819,14,"2",1,2,2
819,14,"2",1,3,1
818,14,"3",1,1,3
818,14,"3",1,2,2
818,14,"3",1,3,1
737,14,"4",1,1,3
737,14,"4",1,2,2
737,14,"4",1,3,1
736,14,"5",1,1,3
736,14,"5",1,2,2
736,14,"5",1,3,1
713,14,"6",1,1,3
713,14,"6",1,2,2
713,14,"6",1,3,1
712,14,"7",1,1,3
712,14,"7",1,2,2
712,14,"7",1,3,1
631,14,"8",1,1,3
631,14,"8",1,2,2
631,14,"8",1,3,1
630,14,"9",1,1,3
630,14,"9",1,2,2
630,14,"9",1,3,1
607,14,"10",1,1,3
607,14,"10",1,2,2
607,14,"10",1,3,1
606,14,"11",1,1,3
606,14,"11",1,2,2
606,14,"11",1,3,1
525,14,"12",1,1,3
525,14,"12",1,2,2
525,14,"12",1,3,1
524,14,"13",1,1,3
524,14,"13",1,2,2
524,14,"13",1,3,1
501,14,"14",1,1,3
501,14,"14",1,2,2
501,14,"14",1,3,1
431,15,"1",1,1,3
431,15,"1",1,2,2
431,15,"1",1,3,1
430,15,"2",1,1,3
430,15,"2",1,2,2
430,15,"2",1,3,1
407,15,"3",1,1,3
407,15,"3",1,2,2
407,15,"3",1,3,1
406,15,"4",1,1,3
406,15,"4",1,2,2
406,15,"4",1,3,1
325,15,"5",1,1,3
325,15,"5",1,2,2
325,15,"5",1,3,1
324,15,"6",1,1,3
324,15,"6",1,2,2
324,15,"6",1,3,1
301,15,"7",1,1,3
301,15,"7",1,2,2
301,15,"7",1,3,1
242,15,"8",1,1,3
242,15,"8",1,2,2
242,15,"8",1,3,1
